row_id,order_id,order_date,customer_id,customer_name,segment,city,state,product_id,category,sub_category,product_name,sales,quantity,discount,profit,order_year,order_month,order_dayofweek
1,CA-2016-152156,2016-11-08,CG-12520,Claire Gute,Consumer,Henderson,Kentucky,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,262,2,0,42,2016,2016-11,Tuesday
2,CA-2016-152156,2016-11-08,CG-12520,Claire Gute,Consumer,Henderson,Kentucky,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",732,3,0,220,2016,2016-11,Tuesday
3,CA-2016-138688,2016-06-12,DV-13045,Darrin Van Huff,Corporate,Los Angeles,California,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,15,2,0,7,2016,2016-06,Sunday
4,US-2015-108966,2015-10-11,SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,958,5,0,-383,2015,2015-10,Sunday
5,US-2015-108966,2015-10-11,SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22,2,0,3,2015,2015-10,Sunday
6,CA-2014-115812,2014-06-09,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",49,7,0,14,2014,2014-06,Monday
7,CA-2014-115812,2014-06-09,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,OFF-AR-10002833,Office Supplies,Art,Newell 322,7,4,0,2,2014,2014-06,Monday
8,CA-2014-115812,2014-06-09,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907,6,0,91,2014,2014-06,Monday
9,CA-2014-115812,2014-06-09,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,19,3,0,6,2014,2014-06,Monday
10,CA-2014-115812,2014-06-09,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,115,5,0,34,2014,2014-06,Monday
11,CA-2014-115812,2014-06-09,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706,9,0,85,2014,2014-06,Monday
12,CA-2014-115812,2014-06-09,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911,4,0,68,2014,2014-06,Monday
13,CA-2017-114412,2017-04-15,AA-10480,Andrew Allen,Consumer,Concord,North Carolina,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,16,3,0,5,2017,2017-04,Saturday
14,CA-2016-161389,2016-12-05,IM-15070,Irene Maddox,Consumer,Seattle,Washington,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,408,3,0,133,2016,2016-12,Monday
15,US-2015-118983,2015-11-22,HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",69,5,1,-124,2015,2015-11,Sunday
16,US-2015-118983,2015-11-22,HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,3,3,1,-4,2015,2015-11,Sunday
17,CA-2014-105893,2014-11-11,PK-19075,Pete Kriz,Consumer,Madison,Wisconsin,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",666,6,0,13,2014,2014-11,Tuesday
18,CA-2014-167164,2014-05-13,AG-10270,Alejandro Grove,Consumer,West Jordan,Utah,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,56,2,0,10,2014,2014-05,Tuesday
19,CA-2014-143336,2014-08-27,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,OFF-AR-10003056,Office Supplies,Art,Newell 341,9,2,0,2,2014,2014-08,Wednesday
20,CA-2014-143336,2014-08-27,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213,3,0,16,2014,2014-08,Wednesday
21,CA-2014-143336,2014-08-27,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",23,4,0,7,2014,2014-08,Wednesday
22,CA-2016-137330,2016-12-09,KB-16585,Ken Black,Corporate,Fremont,Nebraska,OFF-AR-10000246,Office Supplies,Art,Newell 318,19,7,0,5,2016,2016-12,Friday
23,CA-2016-137330,2016-12-09,KB-16585,Ken Black,Corporate,Fremont,Nebraska,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60,7,0,16,2016,2016-12,Friday
24,US-2017-156909,2017-07-16,SF-20065,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71,2,0,-1,2017,2017-07,Sunday
25,CA-2015-106320,2015-09-25,EB-13870,Emily Burns,Consumer,Orem,Utah,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1045,3,0,240,2015,2015-09,Friday
26,CA-2016-121755,2016-01-16,EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,12,2,0,4,2016,2016-01,Saturday
27,CA-2016-121755,2016-01-16,EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,91,3,0,12,2016,2016-01,Saturday
28,US-2015-150630,2015-09-17,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083,7,0,-1665,2015,2015-09,Thursday
29,US-2015-150630,2015-09-17,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,10,2,1,-7,2015,2015-09,Thursday
30,US-2015-150630,2015-09-17,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124,3,0,16,2015,2015-09,Thursday
31,US-2015-150630,2015-09-17,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3,2,0,1,2015,2015-09,Thursday
32,US-2015-150630,2015-09-17,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86,6,0,10,2015,2015-09,Thursday
33,US-2015-150630,2015-09-17,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",7,6,1,-6,2015,2015-09,Thursday
34,US-2015-150630,2015-09-17,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,16,2,0,4,2015,2015-09,Thursday
35,CA-2017-107727,2017-10-19,MA-17560,Matt Abelman,Home Office,Houston,Texas,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29,3,0,10,2017,2017-10,Thursday
36,CA-2016-117590,2016-12-08,GH-14485,Gene Hale,Corporate,Richardson,Texas,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1098,7,0,123,2016,2016-12,Thursday
37,CA-2016-117590,2016-12-08,GH-14485,Gene Hale,Corporate,Richardson,Texas,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",191,5,1,-148,2016,2016-12,Thursday
38,CA-2015-117415,2015-12-27,SN-20710,Steve Nguyen,Home Office,Houston,Texas,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113,9,0,35,2015,2015-12,Sunday
39,CA-2015-117415,2015-12-27,SN-20710,Steve Nguyen,Home Office,Houston,Texas,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532,3,0,-47,2015,2015-12,Sunday
40,CA-2015-117415,2015-12-27,SN-20710,Steve Nguyen,Home Office,Houston,Texas,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212,3,0,-15,2015,2015-12,Sunday
41,CA-2015-117415,2015-12-27,SN-20710,Steve Nguyen,Home Office,Houston,Texas,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371,4,0,42,2015,2015-12,Sunday
42,CA-2017-120999,2017-09-10,LC-16930,Linda Cazamias,Corporate,Naperville,Illinois,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147,4,0,17,2017,2017-09,Sunday
